code,pref,city,pop,did,did_prop
46222,鹿児島県,奄美市,41390,12662,30.5919304179754
46223,鹿児島県,南九州市,33080,0,0
46224,鹿児島県,伊佐市,24453,0,0
46225,鹿児島県,姶良市,76348,42994,56.3131974642427
46303,鹿児島県,三島村,405,0,0
46304,鹿児島県,十島村,740,0,0
46392,鹿児島県,さつま町,20243,0,0
46404,鹿児島県,長島町,9705,0,0
46452,鹿児島県,湧水町,9119,0,0
46468,鹿児島県,大崎町,12385,0,0
46482,鹿児島県,東串良町,6237,0,0
46490,鹿児島県,錦江町,6944,0,0
46491,鹿児島県,南大隅町,6481,0,0
46492,鹿児島県,肝付町,14227,0,0
46501,鹿児島県,中種子町,7539,0,0
46502,鹿児島県,南種子町,5445,0,0
46505,鹿児島県,屋久島町,11858,0,0
46523,鹿児島県,大和村,1364,0,0
46524,鹿児島県,宇検村,1621,0,0
46525,鹿児島県,瀬戸内町,8546,0,0
46527,鹿児島県,龍郷町,5817,0,0
46529,鹿児島県,喜界町,6629,0,0
46530,鹿児島県,徳之島町,10147,0,0
46531,鹿児島県,天城町,5517,0,0
46532,鹿児島県,伊仙町,6139,0,0
46533,鹿児島県,和泊町,6246,0,0
46534,鹿児島県,知名町,5750,0,0
46535,鹿児島県,与論町,5115,0,0
47000,沖縄県,沖縄県,1467480,1023230,69.727015018944
47201,沖縄県,那覇市,317625,316580,99.6709956709957
47205,沖縄県,宜野湾市,100125,98886,98.7625468164794
47207,沖縄県,石垣市,47637,32253,67.7057749228541
47208,沖縄県,浦添市,115690,113204,97.8511539458899
47209,沖縄県,名護市,63554,32173,50.6230921735847
47210,沖縄県,糸満市,61007,37403,61.3093579425312
47211,沖縄県,沖縄市,142752,133572,93.5692669804976
47212,沖縄県,豊見城市,64612,45688,70.7113229740605
47213,沖縄県,うるま市,125303,62071,49.536722983488
47214,沖縄県,宮古島市,52931,19723,37.2617180858098
47215,沖縄県,南城市,44043,0,0
47301,沖縄県,国頭村,4517,0,0
